,Value
25006,3.3
25007,3.1
25008,497.0
25009,690.0
25010,1187.0
25011,4.2
25012,4.7
25013,4.5
25014,80.0
25015,107.0
25016,187.0
25017,2.8
25018,3.4
25019,3.1
25020,558.0
25021,800.0
25022,1357.0
25023,2.6
25024,3.1
25025,2.8
25026,468.0
25027,642.0
25028,1110.0
25029,4.6
25030,6.6
25031,5.7
25032,90.0
25033,158.0
25034,247.0
25035,2.8
25036,3.4
25037,3.1
25038,558.0
25039,800.0
25040,1357.0
25041,2.6
25042,3.1
25043,2.8
25044,468.0
25045,642.0
25046,1110.0
25047,4.6
25048,6.6
25049,5.7
25050,90.0
25051,158.0
25052,247.0
25053,5.4
25054,5.0
25055,5.2
25056,77.0
25057,80.0
25058,157.0
25059,4.8
25060,4.4
25061,4.6
25062,58.0
25063,61.0
25064,118.0
25065,7.6
25066,8.7
25067,8.8
25068,16.0
25069,19.0
25070,39.0
25071,5.5
25072,5.0
25073,5.2
25074,77.0
25075,81.0
25076,158.0
25077,4.6
25078,4.3
25079,4.4
25080,55.0
25081,59.0
25082,114.0
25083,8.9
25084,9.6
25085,9.9
25086,19.0
25087,21.0
25088,44.0
25089,5.3
25090,4.9
25091,5.1
25092,75.0
25093,79.0
25094,154.0
25095,4.5
25096,4.1
25097,4.3
25098,54.0
25099,57.0
25100,111.0
25101,9.5
25102,9.7
25103,9.8
25104,21.0
25105,22.0
25106,44.0
25107,5.2
25108,4.8
25109,5.0
25110,18.0
25111,17.0
25112,35.0
25113,4.6
25114,4.1
25115,4.4
25116,15.0
25117,14.0
25118,29.0
25119,12.7
25120,12.3
25121,12.5
25122,3.0
25123,4.0
25124,7.0
25125,5.2
25126,4.6
25127,4.9
25128,18.0
25129,17.0
25130,35.0
25131,4.6
25132,4.0
25133,4.3
25134,15.0
25135,13.0
25136,28.0
25137,12.4
25138,11.3
25139,11.8
25140,3.0
25141,3.0
25142,7.0
25143,5.2
25144,4.4
25145,4.8
25146,18.0
25147,16.0
25148,34.0
25149,4.6
25150,3.8
25151,4.2
25152,15.0
25153,13.0
25154,28.0
25155,12.4
25156,10.5
25157,11.4
25158,3.0
25159,3.0
25160,6.0
25161,16.1
25162,12.8
25163,14.3
25164,1724.0
25165,1568.0
25166,3292.0
25167,14.7
25168,11.4
25169,12.9
25170,1477.0
25171,1303.0
25172,2779.0
25173,36.3
25174,32.6
25175,34.3
25176,247.0
25177,265.0
25178,513.0
25179,16.0
25180,12.6
25181,14.2
25182,1708.0
25183,1545.0
25184,3253.0
25185,14.6
25186,11.2
25187,12.8
25188,1466.0
25189,1282.0
25190,2749.0
25191,34.9
25192,31.5
25193,33.0
25194,242.0
25195,263.0
25196,504.0
25197,16.0
25198,12.6
25199,14.2
25200,1712.0
25201,1542.0
25202,3254.0
25203,14.7
25204,11.2
25205,12.8
25206,1468.0
25207,1280.0
25208,2747.0
25209,35.1
25210,31.5
25211,33.2
25212,244.0
25213,262.0
25214,507.0
25215,7.3
25216,8.7
25217,8.0
25218,96.0
25219,124.0
25220,220.0
25221,5.2
25222,6.6
25223,5.9
25224,60.0
25225,83.0
25226,143.0
25227,21.6
25228,25.2
25229,23.4
25230,35.0
25231,41.0
25232,77.0
25233,6.4
25234,7.2
25235,6.8
25236,84.0
25237,104.0
25238,188.0
25239,5.0
25240,5.7
25241,5.4
25242,58.0
25243,73.0
25244,130.0
25245,16.2
25246,18.6
25247,17.4
25248,27.0
25249,31.0
25250,58.0
25251,6.4
25252,7.2
25253,6.8
25254,84.0
25255,104.0
25256,188.0
25257,5.0
25258,5.7
25259,5.4
25260,58.0
25261,73.0
25262,130.0
25263,16.2
25264,18.6
25265,17.4
25266,27.0
25267,31.0
25268,58.0
25269,8.1
25270,8.4
25271,8.3
25272,1170.0
25273,1276.0
25274,2446.0
25275,7.4
25276,7.1
25277,7.2
25278,966.0
25279,973.0
25280,1940.0
25281,16.2
25282,20.1
25283,18.3
25284,204.0
25285,302.0
25286,506.0
25287,8.5
25288,8.5
25289,8.5
25290,1216.0
25291,1305.0
25292,2521.0
25293,7.5
25294,7.1
25295,7.3
25296,985.0
25297,983.0
25298,1968.0
25299,17.9
25300,20.8
25301,19.5
25302,231.0
25303,322.0
25304,553.0
25305,8.5
25306,8.5
25307,8.5
25308,1223.0
25309,1306.0
25310,2529.0
25311,7.6
25312,7.2
25313,7.4
25314,992.0
25315,983.0
25316,1976.0
25317,17.9
25318,20.8
25319,19.5
25320,231.0
25321,322.0
25322,553.0
25323,7.6
25324,6.1
25325,6.8
25326,62.0
25327,60.0
25328,122.0
25329,6.7
25330,5.3
25331,6.0
25332,51.0
25333,47.0
25334,99.0
25335,17.6
25336,12.1
25337,14.1
25338,9.0
25339,11.0
25340,20.0
25341,7.6
25342,6.2
25343,6.8
25344,63.0
25345,60.0
25346,122.0
25347,6.6
25348,5.3
25349,5.9
25350,51.0
25351,46.0
25352,97.0
25353,19.7
25354,15.0
25355,16.9
25356,12.0
25357,13.0
25358,25.0
25359,7.6
25360,6.2
25361,6.8
25362,63.0
25363,60.0
25364,122.0
25365,6.6
25366,5.3
25367,5.9
25368,51.0
25369,46.0
25370,97.0
25371,19.7
25372,15.0
25373,16.9
25374,12.0
25375,13.0
25376,25.0
25377,3.3
25378,3.5
25379,3.4
25380,70.0
25381,90.0
25382,160.0
25383,3.0
25384,2.8
25385,2.9
25386,58.0
25387,67.0
25388,125.0
25389,9.3
25390,12.3
25391,11.1
25392,12.0
25393,23.0
25394,35.0
25395,3.4
25396,3.5
25397,3.4
25398,71.0
25399,90.0
25400,161.0
25401,2.9
25402,2.7
25403,2.8
25404,57.0
25405,65.0
25406,122.0
25407,10.6
25408,12.8
25409,11.9
25410,14.0
25411,25.0
25412,39.0
25413,3.4
25414,3.5
25415,3.4
25416,71.0
25417,89.0
25418,160.0
25419,2.9
25420,2.7
25421,2.8
25422,57.0
25423,64.0
25424,122.0
25425,10.4
25426,12.7
25427,11.8
25428,14.0
25429,25.0
25430,38.0
25431,5.0
25432,5.4
25433,5.2
25434,55.0
25435,70.0
25436,125.0
25437,4.0
25438,3.9
25439,3.9
25440,39.0
25441,45.0
25442,84.0
25443,11.6
25444,17.3
25445,14.5
25446,16.0
25447,25.0
25448,41.0
25449,5.1
25450,5.3
25451,5.2
25452,57.0
25453,69.0
25454,126.0
25455,4.3
25456,3.9
25457,4.1
25458,41.0
25459,45.0
25460,87.0
25461,11.2
25462,15.9
25463,13.6
25464,16.0
25465,23.0
25466,39.0
25467,4.7
25468,5.3
25469,5.0
25470,53.0
25471,69.0
25472,122.0
25473,3.9
25474,3.9
25475,3.9
25476,37.0
25477,46.0
25478,83.0
25479,10.9
25480,15.5
25481,13.3
25482,15.0
25483,23.0
25484,39.0
25485,3.4
25486,4.6
25487,4.0
25488,3.0
25489,5.0
25490,9.0
25491,1.9
25492,2.8
25493,2.4
25494,1.0
25495,3.0
25496,4.0
25497,11.4
25498,14.2
25499,12.9
25500,2.0
25501,3.0
25502,4.0
25503,2.9
25504,3.7
25505,3.3
25506,3.0
25507,4.0
25508,7.0
25509,2.4
25510,2.7
25511,2.6
25512,2.0
25513,3.0
25514,5.0
25515,5.5
25516,9.4
25517,7.5
25518,1.0
25519,2.0
25520,2.0
25521,2.9
25522,3.7
25523,3.3
25524,3.0
25525,4.0
25526,7.0
25527,2.4
25528,2.7
25529,2.6
25530,2.0
25531,3.0
25532,5.0
25533,5.5
25534,9.4
25535,7.5
25536,1.0
25537,2.0
25538,2.0
25539,11.5
25540,9.5
25541,10.4
25542,1298.0
25543,1408.0
25544,2707.0
25545,9.5
25546,7.9
25547,8.6
25548,1002.0
25549,1110.0
25550,2112.0
25551,31.0
25552,26.6
25553,32.1
25554,191.0
25555,242.0
25556,502.0
25557,11.4
25558,9.5
25559,10.3
25560,1269.0
25561,1418.0
25562,2688.0
25563,9.8
25564,8.0
25565,8.8
25566,1025.0
25567,1119.0
25568,2144.0
25569,31.9
25570,27.8
25571,31.0
25572,202.0
25573,258.0
25574,492.0
25593,2.5
25594,2.6
25595,2.6
25596,770.0
25597,990.0
25598,1760.0
25599,2.4
25600,2.4
25601,2.4
25602,650.0
25603,860.0
25604,1510.0
25605,3.9
25606,4.2
25607,4.1
25608,120.0
25609,130.0
25610,250.0
25611,2.3
25612,2.5
25613,2.4
25614,700.0
25615,970.0
25616,1670.0
25617,3.8
25618,5.5
25619,6.6
25620,6.0
25621,40.0
25622,48.0
25623,88.0
25624,5.3
25625,6.1
25626,5.7
25627,36.0
25628,41.0
25629,78.0
25630,7.5
25631,12.4
25632,10.2
25633,3.0
25634,7.0
25635,11.0
25636,5.5
25637,6.5
25638,6.0
25639,40.0
25640,48.0
25641,88.0
25642,5.3
25643,6.1
25644,5.7
25645,37.0
25646,41.0
25647,78.0
25648,7.7
25649,11.4
25650,9.8
25651,4.0
25652,7.0
25653,10.0
25654,5.5
25655,6.7
25656,6.1
25657,41.0
25658,49.0
25659,90.0
25660,5.3
25661,6.2
25662,5.7
25663,36.0
25664,42.0
25665,78.0
25666,9.3
25667,12.6
25668,11.1
25669,5.0
25670,7.0
25671,12.0
25672,5.5
25673,5.6
25674,5.6
25675,8.0
25676,9.0
25677,17.0
25678,4.7
25679,4.5
25680,4.6
25681,6.0
25682,7.0
25683,13.0
25684,15.5
25685,18.1
25686,16.9
25687,2.0
25688,2.0
25689,4.0
25690,5.6
25691,5.7
25692,5.7
25693,8.0
25694,9.0
25695,17.0
25696,4.7
25697,4.5
25698,4.6
25699,6.0
25700,7.0
25701,13.0
25702,16.1
25703,18.3
25704,17.3
25705,2.0
25706,3.0
25707,4.0
25708,5.6
25709,5.7
25710,5.7
25711,8.0
25712,9.0
25713,17.0
25714,4.8
25715,4.5
25716,4.6
25717,6.0
25718,7.0
25719,13.0
25720,16.0
25721,18.1
25722,17.2
25723,2.0
25724,2.0
25725,4.0
25726,4.9
25727,8.1
25728,6.5
25729,24.0
25730,39.0
25731,63.0
25732,4.7
25733,7.1
25734,5.9
25735,22.0
25736,32.0
25737,54.0
25738,7.9
25739,21.7
25740,15.6
25741,2.0
25742,7.0
25743,9.0
25744,5.0
25745,7.6
25746,6.3
25747,24.0
25748,37.0
25749,61.0
25750,4.8
25751,6.8
25752,5.8
25753,22.0
25754,31.0
25755,53.0
25756,9.0
25757,18.4
25758,14.4
25759,2.0
25760,6.0
25761,9.0
25762,5.0
25763,7.6
25764,6.3
25765,24.0
25766,37.0
25767,61.0
25768,4.8
25769,6.8
25770,5.8
25771,22.0
25772,31.0
25773,53.0
25774,8.9
25775,18.9
25776,14.6
25777,2.0
25778,6.0
25779,9.0
25780,4.1
25781,3.3
25782,3.6
25783,4.0
25784,5.0
25785,9.0
25786,3.3
25787,2.7
25788,3.0
25789,3.0
25790,4.0
25791,7.0
25792,9.5
25793,9.0
25794,9.2
25795,1.0
25796,1.0
25797,3.0
25798,3.9
25799,3.4
25800,3.6
25801,4.0
25802,5.0
25803,9.0
25804,3.3
25805,2.7
25806,3.0
25807,3.0
25808,4.0
25809,7.0
25810,7.9
25811,9.3
25812,8.7
25813,1.0
25814,1.0
25815,2.0
25816,3.9
25817,3.6
25818,3.7
25819,4.0
25820,6.0
25821,10.0
25822,3.3
25823,2.7
25824,3.0
25825,3.0
25826,4.0
25827,7.0
25828,8.1
25829,11.6
25830,10.0
25831,1.0
25832,2.0
25833,3.0
25834,3.4
25835,3.4
25836,3.4
25837,145.0
25838,168.0
25839,313.0
25840,2.9
25841,2.9
25842,2.9
25843,104.0
25844,119.0
25845,224.0
25846,5.6
25847,6.6
25848,6.1
25849,41.0
25850,49.0
25851,89.0
25852,3.3
25853,3.3
25854,3.3
25855,140.0
25856,160.0
25857,300.0
25858,2.7
25859,2.7
25860,2.7
25861,98.0
25862,111.0
25863,209.0
25864,5.8
25865,6.5
25866,6.2
25867,42.0
25868,48.0
25869,91.0
25870,3.3
25871,3.3
25872,3.3
25873,140.0
25874,160.0
25875,300.0
25876,2.7
25877,2.7
25878,2.7
25879,98.0
25880,111.0
25881,209.0
25882,5.8
25883,6.5
25884,6.2
25885,42.0
25886,48.0
25887,91.0
25888,3.1
25889,3.5
25890,3.3
25891,41.0
25892,52.0
25893,93.0
25894,2.1
25895,2.6
25896,2.4
25897,24.0
25898,35.0
25899,58.0
25900,9.7
25901,10.0
25902,9.8
25903,17.0
25904,18.0
25905,35.0
25906,3.1
25907,3.4
25908,3.3
25909,42.0
25910,51.0
25911,93.0
25912,2.2
25913,2.6
25914,2.4
25915,25.0
25916,34.0
25917,59.0
25918,9.2
25919,9.4
25920,9.3
25921,16.0
25922,17.0
25923,34.0
25924,3.4
25925,3.7
25926,3.6
25927,45.0
25928,56.0
25929,101.0
25930,2.4
25931,2.8
25932,2.6
25933,28.0
25934,37.0
25935,65.0
25936,9.8
25937,10.0
25938,9.9
25939,18.0
25940,19.0
25941,36.0
25942,3.6
25943,3.2
25944,3.4
25945,272.0
25946,303.0
25947,575.0
25948,3.1
25949,2.7
25950,2.9
25951,221.0
25952,230.0
25953,451.0
25954,9.7
25955,10.5
25956,10.1
25957,51.0
25958,73.0
25959,124.0
25960,3.7
25961,3.2
25962,3.4
25963,284.0
25964,301.0
25965,585.0
25966,3.1
25967,2.6
25968,2.8
25969,221.0
25970,227.0
25971,448.0
25972,11.8
25973,10.5
25974,11.1
25975,63.0
25976,74.0
25977,136.0
25978,3.7
25979,3.2
25980,3.4
25981,285.0
25982,301.0
25983,586.0
25984,3.1
25985,2.6
25986,2.8
25987,223.0
25988,227.0
25989,449.0
25990,11.8
25991,10.5
25992,11.1
25993,62.0
25994,74.0
25995,137.0
25996,7.2
25997,6.0
25998,6.6
25999,185.0
26000,157.0
26001,342.0
26002,6.4
26003,5.3
26004,5.9
26005,155.0
26006,129.0
26007,283.0
26008,18.5
26009,14.5
26010,16.3
26011,30.0
26012,28.0
26013,59.0
26014,7.3
26015,5.9
26016,6.6
26017,186.0
26018,154.0
26019,341.0
26020,6.4
26021,5.2
26022,5.8
26023,153.0
26024,125.0
26025,278.0
26026,20.1
26027,14.7
26028,17.1
26029,34.0
26030,29.0
26031,63.0
26032,7.2
26033,5.9
26034,6.6
26035,185.0
26036,155.0
26037,340.0
26038,6.3
26039,5.1
26040,5.7
26041,150.0
26042,124.0
26043,274.0
26044,20.5
26045,15.4
26046,17.7
26047,35.0
26048,31.0
26049,65.0
26050,3.4
26051,4.3
26052,3.9
26053,133.0
26054,225.0
26055,358.0
26056,2.5
26057,3.5
26058,3.1
26059,92.0
26060,171.0
26061,264.0
26062,16.1
26063,14.2
26064,15.0
26065,40.0
26066,54.0
26067,94.0
26068,3.5
26069,4.3
26070,3.9
26071,134.0
26072,221.0
26073,355.0
26074,2.5
26075,3.5
26076,3.0
26077,91.0
26078,166.0
26079,257.0
26080,18.2
26081,15.2
26082,16.4
26083,44.0
26084,57.0
26085,100.0
26086,3.4
26087,4.2
26088,3.9
26089,132.0
26090,216.0
26091,348.0
26092,2.5
26093,3.3
26094,3.0
26095,90.0
26096,160.0
26097,250.0
26098,18.0
26099,15.5
26100,16.5
26101,43.0
26102,58.0
26103,101.0
26104,7.0
26105,6.5
26106,6.8
26107,182.0
26108,187.0
26109,370.0
26110,5.0
26111,4.7
26112,4.8
26113,115.0
26114,120.0
26115,235.0
26116,24.1
26117,21.0
26118,22.4
26119,67.0
26120,67.0
26121,134.0
26122,6.8
26123,6.1
26124,6.5
26125,178.0
26126,177.0
26127,355.0
26128,4.9
26129,4.5
26130,4.7
26131,114.0
26132,116.0
26133,230.0
26134,21.8
26135,18.7
26136,20.2
26137,63.0
26138,61.0
26139,124.0
26140,6.8
26141,6.6
26142,6.7
26143,179.0
26144,189.0
26145,368.0
26146,5.1
26147,4.9
26148,5.0
26149,119.0
26150,124.0
26151,242.0
26152,19.7
26153,20.1
26154,19.9
26155,60.0
26156,65.0
26157,126.0
26158,4.9
26159,3.7
26160,4.2
26161,23.0
26162,21.0
26163,44.0
26164,4.6
26165,3.5
26166,4.0
26167,20.0
26168,18.0
26169,39.0
26170,8.3
26171,5.2
26172,6.5
26173,2.0
26174,2.0
26175,5.0
26176,5.0
26177,3.8
26178,4.3
26179,24.0
26180,21.0
26181,45.0
26182,4.7
26183,3.6
26184,4.1
26185,21.0
26186,18.0
26187,39.0
26188,9.0
26189,5.7
26190,7.1
26191,3.0
26192,2.0
26193,5.0
26194,5.0
26195,3.8
26196,4.4
26197,24.0
26198,21.0
26199,45.0
26200,4.7
26201,3.6
26202,4.1
26203,21.0
26204,18.0
26205,39.0
26206,9.0
26207,7.2
26208,8.0
26209,3.0
26210,3.0
26211,6.0
26212,5.6
26213,5.7
26214,5.6
26215,69.0
26216,85.0
26217,154.0
26218,5.1
26219,5.2
26220,5.1
26221,60.0
26222,72.0
26223,132.0
26224,15.0
26225,12.6
26226,13.4
26227,9.0
26228,13.0
26229,22.0
26230,5.9
26231,5.6
26232,5.8
26233,73.0
26234,84.0
26235,157.0
26236,5.3
26237,5.0
26238,5.1
26239,62.0
26240,69.0
26241,131.0
26242,17.9
26243,13.9
26244,15.4
26245,11.0
26246,15.0
26247,26.0
26248,5.9
26249,5.6
26250,5.8
26251,73.0
26252,84.0
26253,157.0
26254,5.3
26255,5.0
26256,5.1
26257,62.0
26258,69.0
26259,131.0
26260,18.0
26261,13.9
26262,15.4
26263,11.0
26264,15.0
26265,26.0
26266,3.1
26267,3.6
26268,3.3
26269,2323.0
26270,3064.0
26271,5387.0
26272,2.6
26273,2.9
26274,2.7
26275,1722.0
26276,2165.0
26277,3887.0
26278,6.0
26279,8.7
26280,7.4
26281,601.0
26282,899.0
26283,1500.0
26284,3.4
26285,3.8
26286,3.6
26287,2610.0
26288,3253.0
26289,5863.0
26290,2.9
26291,3.0
26292,2.9
26293,1907.0
26294,2234.0
26295,4141.0
26296,6.9
26297,9.6
26298,8.3
26299,703.0
26300,1019.0
26301,1722.0
26302,13.0
26303,4202.0
26304,11.1
26305,3033.0
26306,23.2
26307,1169.0
26308,13.8
26309,4483.0
26310,11.6
26311,3151.0
26312,25.4
26313,1332.0
26314,13.8
26315,4492.0
26316,11.6
26317,3158.0
26318,25.5
26319,1334.0
26320,4.5
26321,5.2
26322,4.9
26323,95.0
26324,125.0
26325,221.0
26326,4.4
26327,4.7
26328,4.5
26329,82.0
26330,99.0
26331,181.0
26332,5.7
26333,9.1
26334,7.6
26335,14.0
26336,26.0
26337,40.0
26338,4.7
26339,4.7
26340,4.7
26341,100.0
26342,114.0
26343,214.0
26344,4.3
26345,4.2
26346,4.3
26347,82.0
26348,90.0
26349,171.0
26350,7.4
26351,8.7
26352,8.1
26353,19.0
26354,25.0
26355,43.0
26356,4.7
26357,4.7
26358,4.7
26359,100.0
26360,114.0
26361,214.0
26362,4.3
26363,4.2
26364,4.3
26365,82.0
26366,90.0
26367,171.0
26368,7.4
26369,8.7
26370,8.1
26371,19.0
26372,25.0
26373,43.0
26374,4.9
26375,6.1
26376,5.5
26377,116.0
26378,164.0
26379,280.0
26380,4.3
26381,5.0
26382,4.7
26383,94.0
26384,125.0
26385,220.0
26386,12.1
26387,18.7
26388,15.7
26389,21.0
26390,38.0
26391,59.0
26392,5.0
26393,6.0
26394,5.5
26395,118.0
26396,161.0
26397,279.0
26398,4.4
26399,5.0
26400,4.7
26401,96.0
26402,124.0
26403,220.0
26404,12.2
26405,17.4
26406,15.0
26407,22.0
26408,37.0
26409,58.0
26410,5.0
26411,6.0
26412,5.5
26413,118.0
26414,161.0
26415,280.0
26416,4.4
26417,5.0
26418,4.7
26419,96.0
26420,124.0
26421,220.0
26422,12.2
26423,17.4
26424,15.0
26425,22.0
26426,37.0
26427,58.0
26428,4.4
26429,5.2
26430,4.8
26431,68.0
26432,93.0
26433,161.0
26434,4.2
26435,5.0
26436,4.6
26437,63.0
26438,85.0
26439,148.0
26440,10.1
26441,10.0
26442,10.0
26443,5.0
26444,8.0
26445,13.0
26446,4.2
26447,4.8
26448,4.5
26449,65.0
26450,86.0
26451,151.0
26452,3.9
26453,4.5
26454,4.2
26455,60.0
26456,78.0
26457,137.0
26458,9.4
26459,9.8
26460,9.7
26461,5.0
26462,8.0
26463,14.0
26464,4.1
26465,4.8
26466,4.5
26467,65.0
26468,86.0
26469,151.0
26470,3.9
26471,4.5
26472,4.2
26473,60.0
26474,78.0
26475,137.0
26476,9.4
26477,9.8
26478,9.7
26479,5.0
26480,8.0
26481,14.0
26482,5.2
26483,4.4
26484,4.8
26485,121.0
26486,115.0
26487,236.0
26488,5.2
26489,3.9
26490,4.5
26491,105.0
26492,91.0
26493,196.0
26494,5.6
26495,8.1
26496,6.9
26497,16.0
26498,24.0
26499,40.0
26500,5.1
26501,4.2
26502,4.6
26503,118.0
26504,110.0
26505,228.0
26506,4.9
26507,3.6
26508,4.2
26509,100.0
26510,83.0
26511,182.0
26512,6.4
26513,9.0
26514,7.7
26515,18.0
26516,27.0
26517,45.0
26518,5.3
26519,4.2
26520,4.7
26521,121.0
26522,110.0
26523,231.0
26524,5.0
26525,3.6
26526,4.2
26527,100.0
26528,83.0
26529,183.0
26530,7.3
26531,8.9
26532,8.1
26533,21.0
26534,27.0
26535,48.0
26536,9.2
26537,7.7
26538,8.5
26539,20.0
26540,18.0
26541,38.0
26542,8.6
26543,6.6
26544,7.5
26545,16.0
26546,14.0
26547,31.0
26548,18.0
26549,22.1
26550,19.8
26551,4.0
26552,4.0
26553,7.0
26554,8.2
26555,7.0
26556,7.6
26557,18.0
26558,16.0
26559,34.0
26560,7.6
26561,5.9
26562,6.7
26563,15.0
26564,13.0
26565,27.0
26566,15.1
26567,22.0
26568,18.2
26569,3.0
26570,4.0
26571,7.0
26572,8.2
26573,7.0
26574,7.6
26575,17.0
26576,16.0
26577,34.0
26578,7.6
26579,5.9
26580,6.7
26581,15.0
26582,13.0
26583,27.0
26584,14.9
26585,22.0
26586,18.2
26587,3.0
26588,4.0
26589,7.0
26590,2.3
26591,2.0
26592,2.1
26593,55.0
26594,59.0
26595,114.0
26596,2.1
26597,1.7
26598,1.9
26599,49.0
26600,47.0
26601,96.0
26602,5.0
26603,6.7
26604,6.0
26605,6.0
26606,11.0
26607,18.0
26608,2.5
26609,1.9
26610,2.2
26611,60.0
26612,56.0
26613,116.0
26614,2.2
26615,1.6
26616,1.9
26617,51.0
26618,45.0
26619,97.0
26620,6.9
26621,6.5
26622,6.7
26623,9.0
26624,11.0
26625,20.0
26626,2.4
26627,1.8
26628,2.1
26629,59.0
26630,53.0
26631,112.0
26632,2.2
26633,1.5
26634,1.8
26635,50.0
26636,42.0
26637,93.0
26638,6.7
26639,6.3
26640,6.5
26641,9.0
26642,10.0
26643,19.0
26644,3.0
26645,3.9
26646,3.5
26647,601.0
26648,909.0
26649,1510.0
26650,2.8
26651,3.6
26652,3.2
26653,513.0
26654,739.0
26655,1252.0
26656,4.6
26657,7.1
26658,6.0
26659,89.0
26660,170.0
26661,258.0
26662,2.9
26663,3.5
26664,3.2
26665,574.0
26666,809.0
26667,1384.0
26668,2.7
26669,3.1
26670,2.9
26671,484.0
26672,652.0
26673,1136.0
26674,4.6
26675,6.6
26676,5.7
26677,91.0
26678,157.0
26679,248.0
26680,2.9
26681,3.5
26682,3.2
26683,574.0
26684,809.0
26685,1384.0
26686,2.7
26687,3.1
26688,2.9
26689,484.0
26690,652.0
26691,1136.0
26692,4.6
26693,6.6
26694,5.7
26695,91.0
26696,157.0
26697,248.0
26698,5.6
26699,5.3
26700,5.5
26701,79.0
26702,85.0
26703,164.0
26704,4.7
26705,4.5
26706,4.6
26707,56.0
26708,62.0
26709,118.0
26710,10.9
26711,11.8
26712,10.6
26713,24.0
26714,26.0
26715,46.0
26716,5.7
26717,5.2
26718,5.4
26719,81.0
26720,82.0
26721,164.0
26722,4.6
26723,4.2
26724,4.4
26725,55.0
26726,58.0
26727,114.0
26728,10.6
26729,11.4
26730,11.3
26731,23.0
26732,25.0
26733,50.0
26734,5.4
26735,4.9
26736,5.1
26737,77.0
26738,80.0
26739,157.0
26740,4.6
26741,4.1
26742,4.3
26743,55.0
26744,56.0
26745,112.0
26746,9.8
26747,10.9
26748,10.2
26749,21.0
26750,25.0
26751,45.0
26752,4.2
26753,4.0
26754,4.1
26755,14.0
26756,14.0
26757,29.0
26758,3.9
26759,3.8
26760,3.8
26761,12.0
26762,12.0
26763,25.0
26764,8.4
26765,7.1
26766,7.7
26767,2.0
26768,2.0
26769,4.0
26770,4.2
26771,3.8
26772,4.0
26773,14.0
26774,14.0
26775,28.0
26776,3.9
26777,3.5
26778,3.7
26779,12.0
26780,11.0
26781,24.0
26782,8.2
26783,7.1
26784,7.6
26785,2.0
26786,2.0
26787,4.0
26788,4.2
26789,4.0
26790,4.1
26791,14.0
26792,14.0
26793,29.0
26794,3.9
26795,3.6
26796,3.8
26797,12.0
26798,12.0
26799,24.0
26800,8.2
26801,7.8
26802,8.0
26803,2.0
26804,2.0
26805,4.0
26806,16.7
26807,12.9
26808,14.7
26809,1782.0
26810,1577.0
26811,3359.0
26812,15.2
26813,11.5
26814,13.2
26815,1524.0
26816,1310.0
26817,2834.0
26818,38.0
26819,33.5
26820,35.5
26821,259.0
26822,267.0
26823,525.0
26824,16.1
26825,12.5
26826,14.2
26827,1726.0
26828,1525.0
26829,3251.0
26830,14.7
26831,11.1
26832,12.8
26833,1473.0
26834,1264.0
26835,2737.0
26836,36.2
26837,31.8
26838,33.9
26839,253.0
26840,262.0
26841,515.0
26842,16.1
26843,12.5
26844,14.2
26845,1718.0
26846,1528.0
26847,3247.0
26848,14.7
26849,11.1
26850,12.8
26851,1472.0
26852,1266.0
26853,2738.0
26854,35.6
26855,31.9
26856,33.6
26857,247.0
26858,262.0
26859,509.0
26860,5.7
26861,8.2
26862,7.0
26863,74.0
26864,117.0
26865,191.0
26866,4.0
26867,6.3
26868,5.3
26869,46.0
26870,81.0
26871,127.0
26872,17.6
26873,23.2
26874,20.4
26875,28.0
26876,37.0
26877,65.0
26878,6.4
26879,7.2
26880,6.8
26881,84.0
26882,103.0
26883,188.0
26884,5.0
26885,5.7
26886,5.4
26887,58.0
26888,72.0
26889,130.0
26890,16.1
26891,18.4
26892,17.3
26893,26.0
26894,31.0
26895,57.0
26896,6.4
26897,7.2
26898,6.8
26899,84.0
26900,103.0
26901,188.0
26902,5.0
26903,5.7
26904,5.4
26905,58.0
26906,72.0
26907,130.0
26908,16.1
26909,18.4
26910,17.3
26911,26.0
26912,31.0
26913,57.0
26914,8.7
26915,8.8
26916,8.7
26917,1252.0
26918,1335.0
26919,2587.0
26920,7.9
26921,7.4
26922,7.6
26923,1036.0
26924,1014.0
26925,2050.0
26926,17.1
26927,21.3
26928,19.4
26929,216.0
26930,321.0
26931,537.0
26932,8.5
26933,8.7
26934,8.6
26935,1229.0
26936,1326.0
26937,2554.0
26938,7.6
26939,7.2
26940,7.4
26941,997.0
26942,995.0
26943,1993.0
26944,17.9
26945,21.3
26946,19.7
26947,231.0
26948,330.0
26949,562.0
26950,8.6
26951,8.6
26952,8.6
26953,1233.0
26954,1324.0
26955,2557.0
26956,7.6
26957,7.2
26958,7.4
26959,1001.0
26960,995.0
26961,1996.0
26962,17.9
26963,21.2
26964,19.7
26965,232.0
26966,330.0
26967,561.0
26968,8.6
26969,6.9
26970,7.7
26971,71.0
26972,67.0
26973,138.0
26974,7.5
26975,5.8
26976,6.6
26977,57.0
26978,51.0
26979,109.0
26980,24.2
26981,19.4
26982,21.3
26983,15.0
26984,18.0
26985,33.0
26986,7.8
26987,6.3
26988,7.0
26989,65.0
26990,61.0
26991,126.0
26992,6.8
26993,5.4
26994,6.0
26995,52.0
26996,47.0
26997,99.0
26998,21.8
26999,16.0
27000,18.3
27001,13.0
27002,14.0
27003,28.0
27004,7.8
27005,6.3
27006,7.0
