,Value
757,5.5
758,5.5
759,60.0
760,69.0
761,129.0
762,3.4
763,4.3
764,3.9
765,32.0
766,49.0
767,81.0
768,22.7
769,15.3
770,18.9
771,28.0
772,20.0
773,47.0
774,4.7
775,5.2
776,5.0
777,50.0
778,65.0
779,115.0
780,3.2
781,4.2
782,3.7
783,30.0
784,48.0
785,77.0
786,18.2
787,14.1
788,16.0
789,20.0
790,17.0
791,37.0
792,4.7
793,4.6
794,4.6
795,50.0
796,57.0
797,107.0
798,3.2
799,3.8
800,3.5
801,30.0
802,43.0
803,73.0
804,17.2
805,11.9
806,14.5
807,20.0
808,14.0
809,33.0
810,4.5
811,5.6
812,5.1
813,4.0
814,7.0
815,11.0
816,4.1
817,6.1
818,5.2
819,3.0
820,6.0
821,9.0
822,6.7
823,3.2
824,4.9
825,1.0
826,1.0
827,2.0
828,4.4
829,5.4
830,5.0
831,4.0
832,6.0
833,10.0
834,3.6
835,4.5
836,4.1
837,3.0
838,4.0
839,7.0
840,8.7
841,11.1
842,9.9
843,1.0
844,2.0
845,3.0
846,4.4
847,5.4
848,5.0
849,4.0
850,6.0
851,10.0
852,3.6
853,4.5
854,4.1
855,3.0
856,4.0
857,7.0
858,8.7
859,11.1
860,9.9
861,1.0
862,2.0
863,3.0
864,11.7
865,9.3
866,10.3
867,1269.0
868,1359.0
869,2627.0
878,31.9
881,476.0
882,10.8
883,8.9
884,9.7
885,1168.0
886,1286.0
887,2454.0
896,31.1
899,433.0
918,2.7
919,3.0
920,2.9
921,810.0
922,1160.0
923,1970.0
924,2.5
925,2.8
926,2.7
927,670.0
928,1000.0
929,1670.0
930,4.7
931,5.1
932,4.9
933,140.0
934,160.0
935,300.0
936,2.7
937,3.0
938,2.9
939,830.0
940,1140.0
941,1970.0
942,5.1
943,8.1
944,10.4
945,9.3
946,58.0
947,77.0
948,136.0
949,7.3
950,9.0
951,8.2
952,49.0
953,62.0
954,112.0
955,19.3
956,27.0
957,23.5
958,9.0
959,15.0
960,24.0
961,7.7
962,10.3
963,9.0
964,55.0
965,77.0
966,132.0
967,7.1
968,8.9
969,8.0
970,48.0
971,61.0
972,109.0
973,17.3
974,27.5
975,23.1
976,7.0
977,16.0
978,23.0
979,7.5
980,10.0
981,8.8
982,54.0
983,75.0
984,129.0
985,7.1
986,8.7
987,7.9
988,48.0
989,60.0
990,107.0
991,14.5
992,26.3
993,21.4
994,6.0
995,15.0
996,21.0
997,6.9
998,7.4
999,7.2
1000,10.0
1001,12.0
1002,22.0
1003,5.6
1004,5.9
1005,5.8
1006,8.0
1007,9.0
1008,17.0
1009,25.6
1010,24.3
1011,24.8
1012,2.0
1013,3.0
1014,6.0
1015,7.2
1016,7.4
1017,7.3
1018,10.0
1019,12.0
1020,23.0
1021,5.8
1022,5.7
1023,5.7
1024,8.0
1025,9.0
1026,17.0
1027,25.2
1028,26.6
1029,26.0
1030,3.0
1031,4.0
1032,6.0
1033,7.2
1034,7.4
1035,7.3
1036,10.0
1037,12.0
1038,23.0
1039,5.8
1040,5.7
1041,5.7
1042,8.0
1043,9.0
1044,17.0
1045,25.2
1046,26.6
1047,26.0
1048,3.0
1049,4.0
1050,6.0
1051,7.5
1052,10.2
1053,8.9
1054,36.0
1055,50.0
1056,87.0
1057,7.0
1058,9.5
1059,8.2
1060,32.0
1061,43.0
1062,75.0
1063,16.1
1064,20.1
1065,18.4
1066,4.0
1067,7.0
1068,12.0
1069,7.5
1070,10.5
1071,9.0
1072,36.0
1073,51.0
1074,88.0
1075,7.1
1076,9.9
1077,8.5
1078,32.0
1079,45.0
1080,77.0
1081,15.2
1082,19.5
1083,17.6
1084,4.0
1085,6.0
1086,11.0
1087,6.3
1088,8.6
1089,7.5
1090,31.0
1091,43.0
1092,73.0
1093,5.9
1094,8.0
1095,7.0
1096,27.0
1097,37.0
1098,64.0
1099,12.7
1100,17.1
1101,15.2
1102,4.0
1103,6.0
1104,10.0
1105,4.9
1106,3.9
1107,4.3
1108,5.0
1109,6.0
1110,12.0
1111,4.6
1112,3.0
1113,3.6
1114,5.0
1115,4.0
1116,9.0
1117,6.7
1118,12.6
1119,10.0
1120,1.0
1121,2.0
1122,3.0
1123,4.6
1124,3.8
1125,4.1
1126,5.0
1127,6.0
1128,11.0
1129,4.6
1130,2.9
1131,3.6
1132,4.0
1133,4.0
1134,9.0
1135,5.1
1136,12.2
1137,9.1
1138,1.0
1139,2.0
1140,2.0
1141,4.3
1142,3.8
1143,4.0
1144,5.0
1145,6.0
1146,11.0
1147,4.2
1148,2.9
1149,3.4
1150,4.0
1151,4.0
1152,8.0
1153,5.0
1154,11.7
1155,8.8
1156,1.0
1157,2.0
1158,2.0
1159,4.5
1160,4.0
1161,4.2
1162,197.0
1163,197.0
1164,394.0
1165,3.2
1166,2.8
1167,3.0
1168,115.0
1169,118.0
1170,233.0
1171,10.8
1172,10.5
1173,10.6
1174,82.0
1175,79.0
1176,161.0
1177,4.8
1178,4.2
1179,4.5
1180,212.0
1181,207.0
1182,419.0
1183,3.6
1184,3.1
1185,3.3
1186,131.0
1187,129.0
1188,261.0
1189,11.1
1190,10.8
1191,11.0
1192,81.0
1193,78.0
1194,159.0
1195,4.8
1196,4.2
1197,4.5
1198,212.0
1199,207.0
1200,419.0
1201,3.6
1202,3.1
1203,3.3
1204,131.0
1205,129.0
1206,261.0
1207,11.1
1208,10.8
1209,11.0
1210,81.0
1211,78.0
1212,159.0
1267,3.3
1268,3.0
1269,3.1
1270,245.0
1271,285.0
1272,529.0
1273,2.7
1274,2.6
1275,2.7
1276,192.0
1277,227.0
1278,419.0
1279,11.5
1280,9.0
1281,10.0
1282,53.0
1283,57.0
1284,110.0
1285,3.5
1286,3.1
1287,3.2
1288,257.0
1289,287.0
1290,544.0
1291,2.9
1292,2.7
1293,2.8
1294,205.0
1295,237.0
1296,442.0
1297,11.5
1298,8.1
1299,9.5
1300,51.0
1301,50.0
1302,102.0
1303,3.4
1304,3.1
1305,3.2
1306,256.0
1307,285.0
1308,541.0
1309,2.9
1310,2.7
1311,2.8
1312,205.0
1313,237.0
1314,441.0
1315,11.5
1316,7.8
1317,9.4
1318,52.0
1319,48.0
1320,100.0
1321,7.7
1322,7.5
1323,7.6
1324,196.0
1325,193.0
1326,389.0
1327,6.4
1328,6.5
1329,6.5
1330,153.0
1331,155.0
1332,308.0
1333,27.3
1334,22.5
1335,24.8
1336,43.0
1337,38.0
1338,81.0
1339,8.2
1340,7.9
1341,8.1
1342,208.0
1343,201.0
1344,410.0
1345,6.9
1346,6.8
1347,6.8
1348,163.0
1349,162.0
1350,325.0
1351,28.8
1352,23.9
1353,26.3
1354,45.0
1355,40.0
1356,85.0
1357,8.2
1358,7.9
1359,8.1
1360,209.0
1361,201.0
1362,410.0
1363,6.9
1364,6.8
1365,6.8
1366,164.0
1367,162.0
1368,326.0
1369,28.7
1370,23.5
1371,26.0
1372,45.0
1373,39.0
1374,84.0
1375,5.0
1376,6.0
1377,5.6
1378,193.0
1379,309.0
1380,502.0
1381,4.0
1382,4.7
1383,4.4
1384,145.0
1385,225.0
1386,370.0
1393,4.5
1394,6.1
1395,5.4
1396,171.0
1397,313.0
1398,484.0
1399,3.6
1400,4.9
1401,4.3
1402,131.0
1403,233.0
1404,363.0
1411,4.8
1412,5.8
1413,5.4
1414,182.0
1415,299.0
1416,481.0
1417,3.9
1418,4.8
1419,4.4
1420,142.0
1421,230.0
1422,372.0
1429,8.6
1430,9.1
1431,8.9
1432,230.0
1433,272.0
1434,502.0
1435,6.6
1436,7.0
1437,6.8
1438,154.0
1439,184.0
1440,338.0
1441,22.2
1442,23.8
1443,23.0
1444,76.0
1445,88.0
1446,164.0
1447,8.9
1448,9.5
1449,9.2
1450,230.0
1451,275.0
1452,505.0
1453,6.5
1454,7.1
1455,6.8
1456,150.0
1457,185.0
1458,336.0
1459,28.7
1460,29.1
1461,28.9
1462,79.0
1463,90.0
1464,169.0
1465,9.3
1466,9.4
1467,9.4
1468,240.0
1469,276.0
1470,515.0
1471,6.8
1472,7.1
1473,7.0
1474,158.0
1475,185.0
1476,343.0
1477,29.2
1478,28.6
1479,28.9
1480,81.0
1481,91.0
1482,172.0
1483,5.6
1484,4.1
1485,4.8
1486,27.0
1487,23.0
1488,49.0
1489,5.1
1490,3.4
1491,4.2
1492,23.0
1493,18.0
1494,40.0
1501,5.4
1502,4.2
1503,4.7
1504,25.0
1505,23.0
1506,49.0
1507,5.0
1508,3.5
1509,4.2
1510,22.0
1511,18.0
1512,40.0
1519,5.3
1520,4.2
1521,4.7
1522,25.0
1523,23.0
1524,48.0
1525,5.0
1526,3.5
1527,4.2
1528,22.0
1529,18.0
1530,40.0
1537,7.0
1538,6.8
1539,6.9
1540,88.0
1541,103.0
1542,191.0
1543,6.2
1544,5.9
1545,6.0
1546,74.0
1547,82.0
1548,156.0
1549,22.2
1550,19.5
1551,20.5
1552,14.0
1553,21.0
1554,35.0
1555,6.9
1556,6.7
1557,6.8
1558,87.0
1559,101.0
1560,188.0
1561,6.2
1562,5.7
1563,5.9
1564,74.0
1565,80.0
1566,154.0
1567,20.7
1568,19.4
1569,19.8
1570,13.0
1571,21.0
1572,34.0
1573,6.9
1574,6.7
1575,6.8
1576,86.0
1577,101.0
1578,187.0
1579,6.2
1580,5.7
1581,5.9
